index,electricity_unit,electricity_value,country abbreviation,type,estimated_at,carbon_g,carbon_lb,carbon_kg,carbon_mt,country,trees required,trees required in units
26,kwh,3,cy,electricity,2024-02-23T14:38:56.171Z,1959,4.32,1.96,0,Cyprus,0.089,1
27,kwh,3,cz,electricity,2024-02-23T14:38:56.898Z,1158,2.55,1.16,0,Czech Republic,0.053,1
28,kwh,3,dk,electricity,2024-02-23T14:38:57.570Z,348,0.77,0.35,0,Denmark,0.016,1
29,kwh,3,ee,electricity,2024-02-23T14:39:00.055Z,2007,4.42,2.01,0,Estonia,0.091,1
30,kwh,3,fi,electricity,2024-02-23T14:39:00.708Z,201,0.44,0.2,0,Finland,0.009,1
31,kwh,3,fr,electricity,2024-02-23T14:39:01.451Z,165,0.36,0.17,0,France,0.008,1
32,kwh,3,de,electricity,2024-02-23T14:39:02.138Z,903,1.99,0.9,0,Germany,0.041,1
33,kwh,4,at,electricity,2024-02-23T14:39:03.790Z,332,0.73,0.33,0,Austria,0.015,1
34,kwh,4,be,electricity,2024-02-23T14:39:04.537Z,768,1.69,0.77,0,Belgium,0.035,1
35,kwh,4,bg,electricity,2024-02-23T14:39:05.251Z,1408,3.1,1.41,0,Bulgaria,0.064,1
36,kwh,4,hr,electricity,2024-02-23T14:39:06.083Z,656,1.45,0.66,0,Croatia,0.030,1
37,kwh,4,cy,electricity,2024-02-23T14:39:06.819Z,2612,5.76,2.61,0,Cyprus,0.119,1
38,kwh,4,cz,electricity,2024-02-23T14:39:08.776Z,1544,3.4,1.54,0,Czech Republic,0.070,1
39,kwh,4,dk,electricity,2024-02-23T14:39:09.641Z,464,1.02,0.46,0,Denmark,0.021,1
40,kwh,4,ee,electricity,2024-02-23T14:39:10.297Z,2676,5.9,2.68,0,Estonia,0.122,1
41,kwh,4,fi,electricity,2024-02-23T14:39:10.993Z,268,0.59,0.27,0,Finland,0.012,1
42,kwh,4,fr,electricity,2024-02-23T14:39:11.747Z,220,0.49,0.22,0,France,0.010,1
43,kwh,4,de,electricity,2024-02-23T14:39:12.554Z,1204,2.65,1.2,0,Germany,0.055,1
44,kwh,5,at,electricity,2024-02-23T14:39:15.498Z,415,0.91,0.42,0,Austria,0.019,1
45,kwh,5,be,electricity,2024-02-23T14:39:15.991Z,960,2.12,0.96,0,Belgium,0.044,1
46,kwh,5,bg,electricity,2024-02-23T14:39:16.687Z,1760,3.88,1.76,0,Bulgaria,0.080,1
47,kwh,5,hr,electricity,2024-02-23T14:39:17.539Z,820,1.81,0.82,0,Croatia,0.037,1
48,kwh,5,cy,electricity,2024-02-23T14:39:18.261Z,3265,7.2,3.27,0,Cyprus,0.149,1
49,kwh,5,cz,electricity,2024-02-23T14:39:19.083Z,1930,4.25,1.93,0,Czech Republic,0.088,1
50,kwh,5,dk,electricity,2024-02-23T14:39:19.747Z,580,1.28,0.58,0,Denmark,0.026,1
51,kwh,5,ee,electricity,2024-02-23T14:39:20.540Z,3345,7.37,3.35,0,Estonia,0.152,1
52,kwh,5,fi,electricity,2024-02-23T14:39:21.431Z,335,0.74,0.34,0,Finland,0.015,1
53,kwh,5,fr,electricity,2024-02-23T14:39:22.160Z,275,0.61,0.28,0,France,0.013,1
54,kwh,5,de,electricity,2024-02-23T14:39:24.850Z,1505,3.32,1.51,0,Germany,0.069,1
55,kwh,1,ie,electricity,2024-02-23T15:45:15.142Z,293,0.65,0.29,0,Ireland,0.013,1
56,kwh,1,lv,electricity,2024-02-23T15:45:15.921Z,92,0.2,0.09,0,Latvia,0.004,1
57,kwh,1,lt,electricity,2024-02-23T15:45:16.906Z,146,0.32,0.15,0,Lithuania,0.007,1
58,kwh,1,lu,electricity,2024-02-23T15:45:17.965Z,69,0.15,0.07,0,Luxembourg,0.003,1
59,kwh,1,mt,electricity,2024-02-23T15:45:18.979Z,356,0.78,0.36,0,Malta,0.016,1
60,kwh,1,pl,electricity,2024-02-23T15:45:19.801Z,724,1.6,0.72,0,Poland,0.033,1
61,kwh,1,ro,electricity,2024-02-23T15:45:20.538Z,208,0.46,0.21,0,Romania,0.010,1
62,kwh,1,sk,electricity,2024-02-23T15:45:21.279Z,90,0.2,0.09,0,Slovakia,0.004,1
63,kwh,2,ie,electricity,2024-02-23T15:45:22.873Z,586,1.29,0.59,0,Ireland,0.027,1
64,kwh,2,lv,electricity,2024-02-23T15:45:23.634Z,184,0.41,0.18,0,Latvia,0.008,1
65,kwh,2,lt,electricity,2024-02-23T15:45:24.304Z,292,0.64,0.29,0,Lithuania,0.013,1
66,kwh,2,lu,electricity,2024-02-23T15:45:25.243Z,138,0.3,0.14,0,Luxembourg,0.006,1
67,kwh,2,mt,electricity,2024-02-23T15:45:26.004Z,712,1.57,0.71,0,Malta,0.032,1
68,kwh,2,pl,electricity,2024-02-23T15:45:26.858Z,1448,3.19,1.45,0,Poland,0.066,1
69,kwh,2,ro,electricity,2024-02-23T15:45:27.678Z,416,0.92,0.42,0,Romania,0.019,1
70,kwh,2,sk,electricity,2024-02-23T15:45:28.399Z,180,0.4,0.18,0,Slovakia,0.008,1
71,kwh,3,ie,electricity,2024-02-23T15:45:30.031Z,879,1.94,0.88,0,Ireland,0.040,1
72,kwh,3,lv,electricity,2024-02-23T15:45:30.837Z,276,0.61,0.28,0,Latvia,0.013,1
73,kwh,3,lt,electricity,2024-02-23T15:45:31.768Z,438,0.97,0.44,0,Lithuania,0.020,1
74,kwh,3,lu,electricity,2024-02-23T15:45:32.421Z,207,0.46,0.21,0,Luxembourg,0.010,1
75,kwh,3,mt,electricity,2024-02-23T15:45:33.043Z,1068,2.35,1.07,0,Malta,0.049,1
76,kwh,3,pl,electricity,2024-02-23T15:45:33.807Z,2172,4.79,2.17,0,Poland,0.099,1
77,kwh,3,ro,electricity,2024-02-23T15:45:34.577Z,624,1.38,0.62,0,Romania,0.028,1
78,kwh,3,sk,electricity,2024-02-23T15:45:35.313Z,270,0.6,0.27,0,Slovakia,0.012,1
79,kwh,4,ie,electricity,2024-02-23T15:45:36.930Z,1172,2.58,1.17,0,Ireland,0.053,1
80,kwh,4,lv,electricity,2024-02-23T15:45:37.627Z,368,0.81,0.37,0,Latvia,0.017,1
81,kwh,4,lt,electricity,2024-02-23T15:45:38.353Z,584,1.29,0.58,0,Lithuania,0.026,1
82,kwh,4,lu,electricity,2024-02-23T15:45:39.118Z,276,0.61,0.28,0,Luxembourg,0.013,1
83,kwh,4,mt,electricity,2024-02-23T15:45:39.927Z,1424,3.14,1.42,0,Malta,0.065,1
84,kwh,4,pl,electricity,2024-02-23T15:45:40.689Z,2896,6.38,2.9,0,Poland,0.132,1
85,kwh,4,ro,electricity,2024-02-23T15:45:41.441Z,832,1.83,0.83,0,Romania,0.038,1
86,kwh,4,sk,electricity,2024-02-23T15:45:42.328Z,360,0.79,0.36,0,Slovakia,0.016,1
87,kwh,5,ie,electricity,2024-02-23T15:45:44.481Z,1465,3.23,1.47,0,Ireland,0.067,1
88,kwh,5,lv,electricity,2024-02-23T15:45:45.025Z,460,1.01,0.46,0,Latvia,0.021,1
89,kwh,5,lt,electricity,2024-02-23T15:45:45.789Z,730,1.61,0.73,0,Lithuania,0.033,1
90,kwh,5,lu,electricity,2024-02-23T15:45:46.598Z,345,0.76,0.35,0,Luxembourg,0.016,1
91,kwh,5,mt,electricity,2024-02-23T15:45:47.406Z,1780,3.92,1.78,0,Malta,0.081,1
92,kwh,5,pl,electricity,2024-02-23T15:45:48.186Z,3620,7.98,3.62,0,Poland,0.165,1
93,kwh,5,ro,electricity,2024-02-23T15:45:48.919Z,1040,2.29,1.04,0,Romania,0.047,1
94,kwh,5,sk,electricity,2024-02-23T15:45:49.639Z,450,0.99,0.45,0,Slovakia,0.020,1
95,kwh,1,gr,electricity,2024-02-03T18:51:19.955Z,522,1.15,0.52,0,Greece,0.024,1
96,kwh,2,gr,electricity,2024-02-03T18:51:20.751Z,1044,2.3,1.04,0,Greece,0.047,1
97,kwh,3,gr,electricity,2024-02-03T18:51:21.529Z,1566,3.45,1.57,0,Greece,0.071,1
98,kwh,4,gr,electricity,2024-02-03T18:51:22.345Z,2088,4.6,2.09,0,Greece,0.095,1
99,kwh,5,gr,electricity,2024-02-03T18:51:23.003Z,2610,5.75,2.61,0,Greece,0.119,1
100,kwh,1,pt,electricity,2024-02-03T19:03:19.518Z,201,0.44,0.2,0,Portugal,0.009,1
101,kwh,1,it,electricity,2024-02-03T19:03:20.355Z,212,0.47,0.21,0,Italy,0.010,1
102,kwh,1,nl,electricity,2024-02-03T19:03:20.913Z,318,0.7,0.32,0,Netherlands,0.015,1
103,kwh,1,es,electricity,2024-02-03T19:03:21.746Z,190,0.42,0.19,0,Spain,0.009,1
104,kwh,2,pt,electricity,2024-02-03T19:03:22.955Z,402,0.89,0.4,0,Portugal,0.018,1
105,kwh,2,it,electricity,2024-02-03T19:03:23.548Z,424,0.93,0.42,0,Italy,0.019,1
106,kwh,2,nl,electricity,2024-02-03T19:03:24.362Z,636,1.4,0.64,0,Netherlands,0.029,1
107,kwh,2,es,electricity,2024-02-03T19:03:25.138Z,380,0.84,0.38,0,Spain,0.017,1
108,kwh,3,pt,electricity,2024-02-03T19:03:26.554Z,603,1.33,0.6,0,Portugal,0.027,1
109,kwh,3,it,electricity,2024-02-03T19:03:27.101Z,636,1.4,0.64,0,Italy,0.029,1
110,kwh,3,nl,electricity,2024-02-03T19:03:27.656Z,954,2.1,0.95,0,Netherlands,0.043,1
111,kwh,3,es,electricity,2024-02-03T19:03:28.412Z,570,1.26,0.57,0,Spain,0.026,1
112,kwh,4,pt,electricity,2024-02-03T19:03:29.861Z,804,1.77,0.8,0,Portugal,0.036,1
113,kwh,4,it,electricity,2024-02-03T19:03:30.686Z,848,1.87,0.85,0,Italy,0.039,1
114,kwh,4,nl,electricity,2024-02-03T19:03:31.373Z,1272,2.8,1.27,0,Netherlands,0.058,1
115,kwh,4,es,electricity,2024-02-03T19:03:31.953Z,760,1.68,0.76,0,Spain,0.035,1
116,kwh,5,pt,electricity,2024-02-03T19:03:33.307Z,1005,2.22,1.01,0,Portugal,0.046,1
117,kwh,5,it,electricity,2024-02-03T19:03:33.908Z,1060,2.34,1.06,0,Italy,0.048,1
118,kwh,5,nl,electricity,2024-02-03T19:03:34.722Z,1590,3.51,1.59,0,Netherlands,0.072,1
119,kwh,5,es,electricity,2024-02-03T19:03:35.421Z,950,2.09,0.95,0,Spain,0.043,1
